"user_supplied_name","matched_name","family","symmetry"
"Acanthus spinosus","Acanthus spinosus","Acanthaceae","zygomorphic"
"Avicennia germinans","Avicennia germinans","Acanthaceae","actinomorphic"
"Blechum pyramidatum","Blechum pyramidatum","Acanthaceae","actinomorphic"
"Justicia brasiliana","Justicia brasiliana","Acanthaceae","zygomorphic"
"Justicia carnea","Justicia carnea","Acanthaceae","zygomorphic"
"Justicia galapagana","Justicia galapagana","Acanthaceae","zygomorphic"
"Justicia procumbens","Justicia procumbens","Acanthaceae","zygomorphic"
"Justicia sp2 M_PL_063","Justicia","Acanthaceae","zygomorphic"
"Mendoncia sp1 M_PL_066","Mendoncia","Acanthaceae","zygomorphic"
"Mendoncia velloziana","Mendoncia velloziana","Acanthaceae","zygomorphic"
"Odontonema nitidum","Odontonema nitidum","Acanthaceae","zygomorphic"
"Ruellia asperula","Ruellia asperula","Acanthaceae","zygomorphic"
"Ruellia brevifolia","Ruellia brevifolia","Acanthaceae","zygomorphic"
"Ruellia ciliosa","Ruellia ciliosa","Acanthaceae","zygomorphic"
"Ruellia strepens","Ruellia strepens","Acanthaceae","zygomorphic"
"Ruellia subsessilis","Ruellia subsessilis","Acanthaceae","zygomorphic"
"Tetramerium nervosum","Tetramerium nervosum","Acanthaceae","zygomorphic"
"Thunbergia fragrans","Thunbergia fragrans","Acanthaceae","zygomorphic"
"Orchis spectabilis","Orchis spectabilis","Accipitridae","zygomorphic"
"Erythrospermum monticolum","Erythrospermum monticolum","Achariaceae","actinomorphic"
"Actinidia arguta","Actinidia arguta","Actinidiaceae","actinomorphic"
"Actinidia rufa","Actinidia rufa","Actinidiaceae","actinomorphic"
"Sambucus canadensis","Sambucus canadensis","Adoxaceae","actinomorphic"
"Sambucus racemosa","Sambucus racemosa","Adoxaceae","actinomorphic"
"Viburnum dilatatum","Viburnum dilatatum","Adoxaceae","actinomorphic"
"Viburnum erosum","Viburnum erosum","Adoxaceae","actinomorphic"
"Viburnum furcatum","Viburnum furcatum","Adoxaceae","actinomorphic"
"Viburnum opulus","Viburnum opulus","Adoxaceae","actinomorphic"
"Viburnum plicatum","Viburnum plicatum","Adoxaceae","actinomorphic"
"Viburnum prunifolium","Viburnum prunifolium","Adoxaceae","actinomorphic"
"Viburnum suspensum","Viburnum suspensum","Adoxaceae","actinomorphic"
"Carpobrotus sp1 M_PL_058","Carpobrotus","Aizoaceae","actinomorphic"
"Sesuvium portulacastrum","Sesuvium portulacastrum","Aizoaceae","actinomorphic"
"Alisma canaliculatum","Alisma canaliculatum","Alismataceae","actinomorphic"
"Alisma plantago aquatica","Alisma plantago","Alismataceae","actinomorphic"
"Sagittaria latifolia","Sagittaria latifolia","Alismataceae","actinomorphic"
"Sagittaria trifolia","Sagittaria trifolia","Alismataceae","actinomorphic"
"Alstroemeria aurea","Alstroemeria aurea","Alstroemeriaceae","actinomorphic"
"Alstroemeria inodora","Alstroemeria inodora","Alstroemeriaceae","actinomorphic"
"Alstroemeria pallida","Alstroemeria pallida","Alstroemeriaceae","actinomorphic"
"Bomarea edulis","Bomarea edulis","Alstroemeriaceae","actinomorphic"
"Bomarea linifolia","Bomarea linifolia","Alstroemeriaceae","actinomorphic"
"Bomarea sp1 M_PL_068","Bomarea","Alstroemeriaceae","actinomorphic"
"Luzuriaga polyphylla","Luzuriaga polyphylla","Alstroemeriaceae","actinomorphic"
"Luzuriaga radicans","Luzuriaga radicans","Alstroemeriaceae","actinomorphic"
"Achyranthes bidentata","Achyranthes bidentata","Amaranthaceae","actinomorphic"
"Alternanthera ficoidea","Alternanthera ficoidea","Amaranthaceae","actinomorphic"
"Amaranthus spinosus","Amaranthus spinosus","Amaranthaceae","actinomorphic"
"Gomphrena perennis","Gomphrena perennis","Amaranthaceae","actinomorphic"
"Philoxerus vermicularis","Philoxerus vermicularis","Amaranthaceae","actinomorphic"
"Alium grayi","Allium grayi","Amaryllidaceae","actinomorphic"
"Allium ampeloprasum","Allium ampeloprasum","Amaryllidaceae","actinomorphic"
"Allium neapolitanum","Allium neapolitanum","Amaryllidaceae","actinomorphic"
"Allium scorodoprasum","Allium scorodoprasum","Amaryllidaceae","actinomorphic"
"Allium subhirsutum","Allium subhirsutum","Amaryllidaceae","actinomorphic"
"Allium thunbergii","Allium thunbergii","Amaryllidaceae","actinomorphic"
"Habranthus gracilifolius","Habranthus gracilifolius","Amaryllidaceae","actinomorphic"
"Hippeastrum aulicum","Hippeastrum aulicum","Amaryllidaceae","actinomorphic"
"Hippeastrum uni","Hippeastrum","Amaryllidaceae","actinomorphic"
"Leucocoryne ixioides","Leucocoryne ixioides","Amaryllidaceae","actinomorphic"
"Leucocoryne pauciflora","Leucocoryne pauciflora","Amaryllidaceae","actinomorphic"
"Nothoscordum bivalve","Nothoscordum bivalve","Amaryllidaceae","actinomorphic"
"Rhodophiala montana","Rhodophiala montana","Amaryllidaceae","actinomorphic"
"Sternbergia lutea","Sternbergia lutea","Amaryllidaceae","actinomorphic"
"Tristagma bivalve","Tristagma bivalve","Amaryllidaceae","actinomorphic"
"Tristagma sessile","Tristagma sessile","Amaryllidaceae","actinomorphic"
"Rhus copallina","Rhus copallina","Anacardiaceae","actinomorphic"
"Rhus glabra","Rhus glabra","Anacardiaceae","actinomorphic"
"Rhus sylvestris","Rhus sylvestris","Anacardiaceae","actinomorphic"
"Rhus toxicodendron","Rhus toxicodendron","Anacardiaceae","actinomorphic"
"Rhus trichocarpa","Rhus trichocarpa","Anacardiaceae","actinomorphic"
"Xylopia lamarckii","Xylopia lamarckii","Annonaceae","actinomorphic"
"Aphloia theiformis","Aphloia theiformis","Aphloiaceae","actinomorphic"
"Aciphylla glacialis","Aciphylla glacialis","Apiaceae","actinomorphic"
"Aciphylla simplicifolia","Aciphylla simplicifolia","Apiaceae","actinomorphic"
"Aciphylla subflavellata","Aciphylla subflabellata","Apiaceae","actinomorphic"
"Aegopodium podagraria","Aegopodium podagraria","Apiaceae","actinomorphic"
"Aethusa cynapium","Aethusa cynapium","Apiaceae","actinomorphic"
"Anethum graveolens","Anethum graveolens","Apiaceae","actinomorphic"
"Angelica archangelica","Angelica archangelica","Apiaceae","actinomorphic"
"Angelica cartilagino-marginata","Angelica cartilagino-marginata","Apiaceae","actinomorphic"
"Angelica polymorpha","Angelica polymorpha","Apiaceae","actinomorphic"
"Angelica pubescens","Angelica pubescens","Apiaceae","actinomorphic"
"Angelica sylvestris","Angelica sylvestris","Apiaceae","actinomorphic"
"Anisotome aromatica","Anisotome aromatica","Apiaceae","actinomorphic"
"Anisotome flexuosus","Anisotome flexuosa","Apiaceae","actinomorphic"
"Anthriscus aemula","Anthriscus aemula","Apiaceae","actinomorphic"
"Anthriscus sylvestris","Anthriscus sylvestris","Apiaceae","actinomorphic"
"Azorella madreporica","Azorella madreporica","Apiaceae","actinomorphic"
"Azorella monantha","Azorella monantha","Apiaceae","actinomorphic"
"Bowlesia tropaeolifolia","Bowlesia tropaeolifolia","Apiaceae","actinomorphic"
"Chaerophyllum procumbens","Chaerophyllum procumbens","Apiaceae","actinomorphic"
"Chaerophyllum temulentum","Chaerophyllum temulentum","Apiaceae","actinomorphic"
"Cicuta maculata","Cicuta maculata","Apiaceae","actinomorphic"
"Crithmum maritimum","Crithmum maritimum","Apiaceae","actinomorphic"
"Cryptotaenia canadensis","Cryptotaenia canadensis","Apiaceae","actinomorphic"
"Cryptotaenia japonica","Cryptotaenia japonica","Apiaceae","actinomorphic"
"Daucus carota","Daucus carota","Apiaceae","actinomorphic"
"Daucus guttatus","Daucus guttatus","Apiaceae","actinomorphic"
"Erigenia bulbosa","Erigenia bulbosa","Apiaceae","actinomorphic"
"Eryngium campestre","Eryngium campestre","Apiaceae","actinomorphic"
"Eryngium floribundum","Eryngium floribundum","Apiaceae","actinomorphic"
"Eryngium horridum","Eryngium horridum","Apiaceae","actinomorphic"
"Eryngium nudicaule","Eryngium nudicaule","Apiaceae","actinomorphic"
"Eryngium yuccifolium","Eryngium yuccifolium","Apiaceae","actinomorphic"
"Foeniculum vulgare","Foeniculum vulgare","Apiaceae","actinomorphic"
"Heracleum lanatum","Heracleum lanatum","Apiaceae","actinomorphic"
"Laretia acaulis","Laretia acaulis","Apiaceae","actinomorphic"
"Libanotis coreana","Libanotis coreana","Apiaceae","actinomorphic"
"Mulinum spinosum","Mulinum spinosum","Apiaceae","actinomorphic"
"Oenanthe javanica","Oenanthe javanica","Apiaceae","actinomorphic"
"Oxypolis rigidior","Oxypolis rigidior","Apiaceae","actinomorphic"
"Pastinaca sativa","Pastinaca sativa","Apiaceae","actinomorphic"
"Peucedanum joponicum","Peucedanum japonicum","Apiaceae","actinomorphic"
"Pimpinella major","Pimpinella major","Apiaceae","actinomorphic"
"Polytaenia nuttallii","Polytaenia nuttallii","Apiaceae","actinomorphic"
"Pozoa coriacea","Pozoa coriacea","Apiaceae","actinomorphic"
"Sanicula canadensis","Sanicula canadensis","Apiaceae","actinomorphic"
"Sanicula graveolens","Sanicula graveolens","Apiaceae","actinomorphic"
"Sanicula marilandica","Sanicula marilandica","Apiaceae","actinomorphic"
"Scandix australis","Scandix australis","Apiaceae","actinomorphic"
"Scandix pecten-veneris","Scandix pecten-veneris","Apiaceae","actinomorphic"
"Spuriopimpinella nikoensis","Spuriopimpinella nikoensis","Apiaceae","actinomorphic"
"Taenidia integerrima","Taenidia integerrima","Apiaceae","actinomorphic"
"Thapsia garganica","Thapsia garganica","Apiaceae","actinomorphic"
"Tordylium apulum","Tordylium apulum","Apiaceae","actinomorphic"
"Torilis japonica","Torilis japonica","Apiaceae","actinomorphic"
"Zizia aurea","Zizia aurea","Apiaceae","actinomorphic"
"Allamanda blanchetii","Allamanda blanchetii","Apocynaceae","actinomorphic"
"Alstonia macrophylla","Alstonia macrophylla","Apocynaceae","actinomorphic"
"Apocynum androsaemifolium","Apocynum androsaemifolium","Apocynaceae","actinomorphic"
"Apocynum cannabinum","Apocynum cannabinum","Apocynaceae","actinomorphic"
"Asclepias cucullata","Asclepias cucullata","Apocynaceae","actinomorphic"
"Asclepias halli","Asclepias hallii","Apocynaceae","actinomorphic"
"Asclepias incarnata","Asclepias incarnata","Apocynaceae","actinomorphic"
"Asclepias purpurascens","Asclepias purpurascens","Apocynaceae","actinomorphic"
"Asclepias speciosa","Asclepias speciosa","Apocynaceae","actinomorphic"
"Asclepias sullivantii","Asclepias sullivantii","Apocynaceae","actinomorphic"
"Asclepias syriaca","Asclepias syriaca","Apocynaceae","actinomorphic"
"Asclepias tuberosa","Asclepias tuberosa","Apocynaceae","actinomorphic"
"Asclepias verticillata","Asclepias verticillata","Apocynaceae","actinomorphic"
"Asclepias woodii","Asclepias woodii","Apocynaceae","actinomorphic"
"Ascleptas curassavica","Asclepias curassavica","Apocynaceae","actinomorphic"
"Aspidonepsis diploglossa","Aspidonepsis diploglossa","Apocynaceae","actinomorphic"
"Catharanthus roseus","Catharanthus roseus","Apocynaceae","actinomorphic"
"Cerbera manghas","Cerbera manghas","Apocynaceae","actinomorphic"
"Cynanchum ascyrifolium","Cynanchum ascyrifolium","Apocynaceae","actinomorphic"
"Cynanchum diemii","Cynanchum diemii","Apocynaceae","actinomorphic"
"Galactophora schomburgkiana","Galactophora schomburgkiana","Apocynaceae","actinomorphic"
"Miraglossum pilosum","Miraglossum pilosum","Apocynaceae","actinomorphic"
"Miraglossum verticillare","Miraglossum verticillare","Apocynaceae","actinomorphic"
"Oxypetalum solanoides","Oxypetalum solanoides","Apocynaceae","actinomorphic"
"Pachycarpus natalensis","Pachycarpus natalensis","Apocynaceae","actinomorphic"
"Periploca laevigata","Periploca laevigata","Apocynaceae","actinomorphic"
"Rhabdadenia biflora","Rhabdadenia biflora","Apocynaceae","actinomorphic"
"Sisyranthus trichostomus","Sisyranthus trichostomus","Apocynaceae","actinomorphic"
"Tabernaemontana persicarifolia","Tabernaemontana persicariifolia","Apocynaceae","actinomorphic"
"Xysmalobium gerrardii","Xysmalobium gerrardii","Apocynaceae","actinomorphic"
"Xysmalobium involucratum","Xysmalobium involucratum","Apocynaceae","actinomorphic"
"Braya sp1 M_PL_014","Braya","Brassicaceae","actinomorphic"
"Ilex canarienis","Ilex canariensis","Aquifoliaceae","actinomorphic"
"Ilex integra","Ilex integra","Aquifoliaceae","actinomorphic"
"Ilex retusa","Ilex retusa","Aquifoliaceae","actinomorphic"
"Ilex serrata","Ilex serrata","Aquifoliaceae","actinomorphic"
"Alocasia odora","Alocasia odora","Araceae","actinomorphic"
"Arisaema japonicum","Arisaema japonicum","Araceae","actinomorphic"
"Arisaema triphyllum","Arisaema triphyllum","Araceae","actinomorphic"
"Arisarum vulgare","Arisarum vulgare","Araceae","actinomorphic"
"Aralia cordata","Aralia cordata","Araliaceae","actinomorphic"
"Aralia nudicaulis","Aralia nudicaulis","Araliaceae","actinomorphic"
"Dendropanax arboreus","Dendropanax arboreus","Araliaceae","actinomorphic"
"Dendropanax sp1 M_PL_040","Dendropanax","Araliaceae","actinomorphic"
"Dendropanax trifidus","Dendropanax trifidus","Araliaceae","actinomorphic"
"Fatsia japonica","Fatsia japonica","Araliaceae","actinomorphic"
"Gastonia crassa","Gastonia crassa","Araliaceae","actinomorphic"
"Gastonia mauritiana","Gastonia mauritiana","Araliaceae","actinomorphic"
"Hydrocotyle ramiflora","Hydrocotyle ramiflora","Araliaceae","actinomorphic"
"Polyscias mauritiana","Polyscias mauritiana","Araliaceae","actinomorphic"
"Schefflera octophylla","Schefflera octophylla","Araliaceae","actinomorphic"
"Chamaerops humilis","Chamaerops humilis","Arecaceae","actinomorphic"
"Deckenia nobilis","Deckenia nobilis","Arecaceae","actinomorphic"
"Nephrosperma vanhoutteanum","Nephrosperma vanhoutteanum","Arecaceae","actinomorphic"
"Phoenicophorium borsigianum","Phoenicophorium borsigianum","Arecaceae","actinomorphic"
"Roscheria melanochaetes","Roscheria melanochaetes","Arecaceae","actinomorphic"
"Corokia cotoneaster","Corokia cotoneaster","Argophyllaceae","actinomorphic"
"Aristolochia tomentosa","Aristolochia tomentosa","Aristolochiaceae","zygomorphic"
"Asparagus acutifolius","Asparagus acutifolius","Asparagaceae","actinomorphic"
"Asparagus aphyllus","Asparagus aphyllus","Asparagaceae","actinomorphic"
"Asparagus officinalis","Asparagus officinalis","Asparagaceae","actinomorphic"
"Asparagus schoberioides","Asparagus schoberioides","Asparagaceae","actinomorphic"
"Dracaena concinna","Dracaena concinna","Asparagaceae","actinomorphic"
"Dracaena reflexa","Dracaena reflexa","Asparagaceae","actinomorphic"
"Hosta albomarginata","Hosta albomarginata","Asparagaceae","actinomorphic"
"Hosta sieboldiana","Hosta sieboldiana","Asparagaceae","actinomorphic"
"Liriope platyphylla","Liriope platyphylla","Asparagaceae","actinomorphic"
"Maianthemum canadense","Maianthemum canadense","Asparagaceae","actinomorphic"
"Muscari comosum","Muscari comosum","Asparagaceae","actinomorphic"
"Polygonatum lasianthum","Polygonatum lasianthum","Asparagaceae","actinomorphic"
"Smilacina racemosa","Smilacina racemosa","Asparagaceae","actinomorphic"
"Smilacina stellata","Smilacina stellata","Asparagaceae","actinomorphic"
"Smilacina trifolia","Smilacina trifolia","Asparagaceae","actinomorphic"
"Asphodelus aestivus","Asphodelus aestivus","Asphodelaceae","actinomorphic"
"Hemerocallis vespertina","Hemerocallis vespertina","Asphodelaceae","actinomorphic"
"Achillea alpina","Achillea alpina","Asteraceae","actinomorphic"
"Achillea millefolium","Achillea millefolium","Asteraceae","actinomorphic"
"Adenocaulon himalaicum","Adenocaulon himalaicum","Asteraceae","actinomorphic"
"Ageratum conyzoides","Ageratum conyzoides","Asteraceae","actinomorphic"
"Ageratum houstonianum","Ageratum houstonianum","Asteraceae","actinomorphic"
"Ainsliaea acerifolia","Ainsliaea acerifolia","Asteraceae","actinomorphic"
"Ambrosia trifida","Ambrosia trifida","Asteraceae","actinomorphic"
"Anacyclus radiatus","Anacyclus radiatus","Asteraceae","actinomorphic"
"Anaphalis margaritacea","Anaphalis margaritacea","Asteraceae","actinomorphic"
"Andryala pinnatifida","Andryala pinnatifida","Asteraceae","actinomorphic"
"Antennaria alpina","Antennaria alpina","Asteraceae","actinomorphic"
"Antennaria plantaginifolia","Antennaria plantaginifolia","Asteraceae","actinomorphic"
"Anthemis cotula","Anthemis cotula","Asteraceae","actinomorphic"
"Arctium minus","Arctium minus","Asteraceae","actinomorphic"
"Argyranthemum broussonetti","Argyranthemum broussonetii","Asteraceae","actinomorphic"
"Argyranthemum frutescens","Argyranthemum frutescens","Asteraceae","actinomorphic"
"Arnica alpina","Arnica alpina","Asteraceae","actinomorphic"
"Arnica angustifolia","Arnica angustifolia","Asteraceae","actinomorphic"
"Arnica montana","Arnica montana","Asteraceae","actinomorphic"
"Arnica sp1 M_PL_014","Arnica","Asteraceae","actinomorphic"
"Aster ageratoides","Aster ageratoides","Asteraceae","actinomorphic"
"Aster foliaceus","Aster foliaceus","Asteraceae","actinomorphic"
"Aster glehni","Aster glehni","Asteraceae","actinomorphic"
"Aster novaeangliae","Aster novae-angliae","Asteraceae","actinomorphic"
"Aster scaber","Aster scaber","Asteraceae","actinomorphic"
"Aster subulatus","Aster subulatus","Asteraceae","actinomorphic"
"Barnadesia spinosa","Barnadesia spinosa","Asteraceae","actinomorphic"
"Bellis annua","Bellis annua","Asteraceae","actinomorphic"
"Bidens aristosa","Bidens aristosa","Asteraceae","actinomorphic"
"Bidens bipinnata","Bidens bipinnata","Asteraceae","actinomorphic"
"Bidens connata","Bidens connata","Asteraceae","actinomorphic"
"Bidens frondosa","Bidens frondosa","Asteraceae","actinomorphic"
"Bidens laevis","Bidens laevis","Asteraceae","actinomorphic"
"Bidens pilosa","Bidens pilosa","Asteraceae","actinomorphic"
"Boltonia asteroides","Boltonia asteroides","Asteraceae","actinomorphic"
"Brachycome stolonifera","Brachyscome stolonifera","Asteraceae","actinomorphic"
"Calendula arvensis","Calendula arvensis","Asteraceae","actinomorphic"
"Carduus acanthoides","Carduus acanthoides","Asteraceae","actinomorphic"
"Carduus pycnocephalus","Carduus pycnocephalus","Asteraceae","actinomorphic"
"Carduus tenuiflorus","Carduus tenuiflorus","Asteraceae","actinomorphic"
"Carpesium divaricatum","Carpesium divaricatum","Asteraceae","actinomorphic"
"Celmisia armstrongii","Celmisia armstrongii","Asteraceae","actinomorphic"
"Celmisia gracilenta","Celmisia gracilenta","Asteraceae","actinomorphic"
"Celmisia spectabilis","Celmisia spectabilis","Asteraceae","actinomorphic"
"Centaurea jacea","Centaurea jacea","Asteraceae","actinomorphic"
"Centaurea nigra","Centaurea nigra","Asteraceae","actinomorphic"
"Centaurea raphanina","Centaurea raphanina","Asteraceae","actinomorphic"
"Chaetanthera apiculata","Chaetanthera apiculata","Asteraceae","actinomorphic"
"Chaetanthera euphrasioides","Chaetanthera euphrasioides","Asteraceae","actinomorphic"
"Chaetanthera flabellata","Chaetanthera flabellata","Asteraceae","actinomorphic"
"Chaetanthera lycopodioides","Chaetanthera lycopodioides","Asteraceae","actinomorphic"
"Chaetanthera microphylla","Chaetanthera microphylla","Asteraceae","actinomorphic"
"Chaetanthera pusilla","Chaetanthera pusilla","Asteraceae","actinomorphic"
"Chondrilla juncea","Chondrilla juncea","Asteraceae","actinomorphic"
"Chrysanthemum coronarium","Chrysanthemum coronarium","Asteraceae","actinomorphic"
"Chrysanthemum leucanthemum","Chrysanthemum leucanthemum","Asteraceae","actinomorphic"
"Chrysanthemum maximum","Chrysanthemum maximum","Asteraceae","actinomorphic"
"Chrysopsis villosa","Chrysopsis villosa","Asteraceae","actinomorphic"
"Chuquiraga oppositifolia","Chuquiraga oppositifolia","Asteraceae","actinomorphic"
"Cirsium altissimum","Cirsium altissimum","Asteraceae","actinomorphic"
"Cirsium arvense","Cirsium arvense","Asteraceae","actinomorphic"
"Cirsium discolor","Cirsium discolor","Asteraceae","actinomorphic"
"Cirsium japonicum","Cirsium japonicum","Asteraceae","actinomorphic"
"Cirsium oleraceum","Cirsium oleraceum","Asteraceae","actinomorphic"
"Cirsium palustre","Cirsium palustre","Asteraceae","actinomorphic"
"Cirsium pumilum","Cirsium pumilum","Asteraceae","actinomorphic"
"Cirsium vulgare","Cirsium vulgare","Asteraceae","actinomorphic"
"Conocliniopsis prasiifolia","Conocliniopsis prasiifolia","Asteraceae","actinomorphic"
"Coreopsis basalis","Coreopsis basalis","Asteraceae","actinomorphic"
"Coreopsis palmata","Coreopsis palmata","Asteraceae","actinomorphic"
"Coreopsis tripteris","Coreopsis tripteris","Asteraceae","actinomorphic"
"Craspedia uniflora","Craspedia uniflora","Asteraceae","actinomorphic"
"Crepidiastrum lanceolatum","Crepidiastrum lanceolatum","Asteraceae","actinomorphic"
"Crepis capillaris","Crepis capillaris","Asteraceae","actinomorphic"
"Crepis paludosa","Crepis paludosa","Asteraceae","actinomorphic"
"Crupina crupinastrum","Crupina crupinastrum","Asteraceae","actinomorphic"
"Cynara cardunculus","Cynara cardunculus","Asteraceae","actinomorphic"
"Darwiniothamnus tenuifolius","Darwiniothamnus tenuifolius","Asteraceae","actinomorphic"
"Diplostephium sp1 M_PL_068","Diplostephium","Asteraceae","actinomorphic"
"Dittrichia graveolens","Dittrichia graveolens","Asteraceae","actinomorphic"
"Echinops microcephalus","Echinops microcephalus","Asteraceae","actinomorphic"
"Echinops setifer","Echinops setifer","Asteraceae","actinomorphic"
"Encelia hispida","Encelia hispida","Asteraceae","actinomorphic"
"Erigeron annuus","Erigeron annuus","Asteraceae","actinomorphic"
"Erigeron canadensis","Erigeron canadensis","Asteraceae","actinomorphic"
"Erigeron compositus","Erigeron compositus","Asteraceae","actinomorphic"
"Erigeron eriocephalus","Erigeron eriocephalus","Asteraceae","actinomorphic"
"Erigeron philadelphicus","Erigeron philadelphicus","Asteraceae","actinomorphic"
"Erigeron pulchellus","Erigeron pulchellus","Asteraceae","actinomorphic"
"Erigeron sp1 M_PL_014","Erigeron","Asteraceae","actinomorphic"
"Erigeron uniflorus","Erigeron uniflorus","Asteraceae","actinomorphic"
"Espeletia sp1 M_PL_068","Espeletia","Asteraceae","actinomorphic"
"Eupatorium altissimum","Eupatorium altissimum","Asteraceae","actinomorphic"
"Eupatorium cannabinum","Eupatorium cannabinum","Asteraceae","actinomorphic"
"Eupatorium chinense","Eupatorium chinense","Asteraceae","actinomorphic"
"Eupatorium coelestinum","Eupatorium coelestinum","Asteraceae","actinomorphic"
"Eupatorium lindleyanum","Eupatorium lindleyanum","Asteraceae","actinomorphic"
"Eupatorium odoratum","Eupatorium odoratum","Asteraceae","actinomorphic"
"Eupatorium perfoliatum","Eupatorium perfoliatum","Asteraceae","actinomorphic"
"Eupatorium purpureum","Eupatorium purpureum","Asteraceae","actinomorphic"
"Eupatorium serotinum","Eupatorium serotinum","Asteraceae","actinomorphic"
"Eupatorium sessilifolium","Eupatorium sessilifolium","Asteraceae","actinomorphic"
"Faujasiopsis flexuosa","Faujasiopsis flexuosa","Asteraceae","actinomorphic"
"Galactites tomentosa","Galactites tomentosa","Asteraceae","actinomorphic"
"Grindelia chiloensis","Grindelia chiloensis","Asteraceae","actinomorphic"
"Helenium autumnale","Helenium autumnale","Asteraceae","actinomorphic"
"Helianthus annuus","Helianthus annuus","Asteraceae","actinomorphic"
"Helianthus divaricatus","Helianthus divaricatus","Asteraceae","actinomorphic"
"Helianthus laetiflorus","Helianthus laetiflorus","Asteraceae","actinomorphic"
"Helianthus mollis","Helianthus mollis","Asteraceae","actinomorphic"
"Helianthus petiolaris","Helianthus petiolaris","Asteraceae","actinomorphic"
"Helianthus strumosus","Helianthus strumosus","Asteraceae","actinomorphic"
"Helianthus tuberosus","Helianthus tuberosus","Asteraceae","actinomorphic"
"Helichrysum alpinum","Helichrysum alpinum","Asteraceae","actinomorphic"
"Helichrysum bellidioides","Helichrysum bellidioides","Asteraceae","actinomorphic"
"Helichrysum selago","Helichrysum selago","Asteraceae","actinomorphic"
"Helichrysum stoechas","Helichrysum stoechas","Asteraceae","actinomorphic"
"Heliopsis helianthoides","Heliopsis helianthoides","Asteraceae","actinomorphic"
"Heteropappus hispidus","Heteropappus hispidus","Asteraceae","actinomorphic"
"Hieracium pilosella","Hieracium pilosella","Asteraceae","actinomorphic"
"Hieracium praealtum","Hieracium praealtum","Asteraceae","actinomorphic"
"Hieracium sp1 M_PL_048","Hieracium","Asteraceae","actinomorphic"
"Hieracium umbellatum","Hieracium umbellatum","Asteraceae","actinomorphic"
"Hypochaeris pampasica","Hypochaeris pampasica","Asteraceae","actinomorphic"
"Hypochaeris radicata","Hypochaeris radicata","Asteraceae","actinomorphic"
"Hypochoeris radicata","Hypochoeris radicata","Asteraceae","actinomorphic"
"Hysterionica jasionoides","Hysterionica jasionoides","Asteraceae","actinomorphic"
"Inula japonica","Inula japonica","Asteraceae","actinomorphic"
"Inula salicina","Inula salicina","Asteraceae","actinomorphic"
"Ixeris dentata","Ixeris dentata","Asteraceae","actinomorphic"
"Kalimeris pinnatifida","Kalimeris pinnatifida","Asteraceae","actinomorphic"
"Lactuca canadensis","Lactuca canadensis","Asteraceae","actinomorphic"
"Lactuca floridana","Lactuca floridana","Asteraceae","actinomorphic"
"Lactuca indica","Lactuca indica","Asteraceae","actinomorphic"
"Lapsana communis","Lapsana communis","Asteraceae","actinomorphic"
"Leontodon autumnalis","Leontodon autumnalis","Asteraceae","actinomorphic"
"Leontodon hispidus","Leontodon hispidus","Asteraceae","actinomorphic"
"Leontodon saxatilis","Leontodon saxatilis","Asteraceae","actinomorphic"
"Leontodon taraxacoides","Leontodon taraxacoides","Asteraceae","actinomorphic"
"Leptorhynchos squamatus","Leptorhynchos squamatus","Asteraceae","actinomorphic"
"Leucanthemum vulgare","Leucanthemum vulgare","Asteraceae","actinomorphic"
"Leucogenes grandiceps","Leucogenes grandiceps","Asteraceae","actinomorphic"
"Liatris pycnostachya","Liatris pycnostachya","Asteraceae","actinomorphic"
"Liatris scariosa","Liatris scariosa","Asteraceae","actinomorphic"
"Ligularia dentata","Ligularia dentata","Asteraceae","actinomorphic"
"Ligularia japonica","Ligularia japonica","Asteraceae","actinomorphic"
"Madia sativa","Madia sativa","Asteraceae","actinomorphic"
"Microseris lanceolata","Microseris lanceolata","Asteraceae","actinomorphic"
"Mikania micrantha","Mikania micrantha","Asteraceae","actinomorphic"
"Mustisia acerosa","Mutisia acerosa","Asteraceae","actinomorphic"
"Mustisia sinuata","Mutisia sinuata","Asteraceae","actinomorphic"
"Mutisia decurrens","Mutisia decurrens","Asteraceae","actinomorphic"
"Mutisia sinuata","Mutisia sinuata","Asteraceae","actinomorphic"
"Mutisia speciosa","Mutisia speciosa","Asteraceae","actinomorphic"
"Nardophyllum lanatum","Nardophyllum lanatum","Asteraceae","actinomorphic"
"Nassauvia axillaris","Nassauvia axillaris","Asteraceae","actinomorphic"
"Nassauvia heterophylla","Nassauvia heterophylla","Asteraceae","actinomorphic"
"Nassauvia lagascae","Nassauvia lagascae","Asteraceae","actinomorphic"
"Nassauvia pinnigera","Nassauvia pinnigera","Asteraceae","actinomorphic"
"Olearia phlogopappa","Olearia phlogopappa","Asteraceae","actinomorphic"
"Olearia virgata","Olearia virgata","Asteraceae","actinomorphic"
"Oreochrysum parryi","Oreochrysum parryi","Asteraceae","actinomorphic"
"Pallenis spinosa","Pallenis spinosa","Asteraceae","actinomorphic"
"Parthenium integrifolium","Parthenium integrifolium","Asteraceae","actinomorphic"
"Pectis tenuifolia","Pectis tenuifolia","Asteraceae","actinomorphic"
"Perezia carthamoides","Perezia carthamoides","Asteraceae","actinomorphic"
"Perezia pilifera","Perezia pilifera","Asteraceae","actinomorphic"
"Petasites frigidus","Petasites frigidus","Asteraceae","actinomorphic"
"Petasites japonicus","Petasites japonicus","Asteraceae","actinomorphic"
