Host,Parasite
Bucephala islandica,Streptocara incognita
Oxyura jamaicensis,Streptocara incognita
Odocoileus virginianus,Thelazia skrjabini
Canis latrans,Toxascaris leonina
Canis latrans,Toxocara canis
Ovis canadensis,Trichuris schumakovitschi
Canis latrans,Uncinaria stenocephala
Charadrius semipalmatus,Viktorocara capillaris
Charadrius vociferus,Viktorocara capillaris
Limosa fedoa,Viktorocara capillaris
Pluvialis squatarola,Viktorocara capillaris
Calidris pusilla,Viktorocara limosae
Charadrius semipalmatus,Viktorocara limosae
Limosa fedoa,Viktorocara limosae
Pluvialis squatarola,Viktorocara limosae
Recurvirostra americana,Viktorocara limosae
Anser anser,Amidostomum anseris
Anas penelope,Echinuria uncinata
Anas penelope,Epomidiostomum uncinatum
Alectoris barbara,Hadjelia lhuillieri
Ctenodactylus gundi,Hilgertia hilgerti
Alectoris barbara,Lemdana marthae
Rhinolophus ferrumequinum,Strongylacantha glycirrhyza
Hippotragus equinus,Setaria hornbyi
Physeter macrocephalus,Anisakis physeteris
Balaenoptera borealis,Anisakis simplex
Balaenoptera musculus,Anisakis simplex
Physeter macrocephalus,Anisakis simplex
Physeter macrocephalus,Anisakis skrjabini
Mirounga leonina,Contracaecum mirounga
Balaenoptera physalus,Crassicauda boopis
Megaptera novaeangliae,Crassicauda boopis
Eubalaena glacialis,Crassicauda costata
Balaenoptera borealis,Crassicauda crassicauda
Balaenoptera musculus,Crassicauda crassicauda
Balaenoptera physalus,Crassicauda crassicauda
Megaptera novaeangliae,Crassicauda crassicauda
Hyperoodon planifrons,Crassicauda giliakiana
Balaenoptera musculus,Crassicauda tortilis
Balaenoptera musculus,Odontobius ceti
Physeter macrocephalus,Placentonema gigantissima
Cyclura carinata,Alaeuris travassosi
Cyclura nubila,Alaeuris travassosi
Tarentola americana,Alaeuris travassosi
Iguana iguana,Alaeuris vogelsangi
Trachemys decussata,Amphibiocapillaria serpentina
Tringa melanoleuca,Ancyracanthopsis quadripartitia
Rattus norvegicus,Angiostrongylus cantonensis
Eleutherodactylus acmonis,Aplectana cubana
Eleutherodactylus albipes,Aplectana cubana
Eleutherodactylus cuneatus,Aplectana cubana
Eleutherodactylus dimidiatus,Aplectana cubana
Eleutherodactylus eileenae,Aplectana cubana
Eleutherodactylus gundlachi,Aplectana cubana
Eleutherodactylus klinikowskii,Aplectana cubana
Eleutherodactylus pinarensis,Aplectana cubana
Eleutherodactylus planirostris,Aplectana cubana
Eleutherodactylus symingtoni,Aplectana cubana
Eleutherodactylus turquinensis,Aplectana cubana
Eleutherodactylus zugi,Aplectana cubana
Amphisbaena bakeri,Aplectana pusilla
Anolis sagrei,Atractis opeatura
Anolis armouri,Atractis scelopori
Anolis barahonae,Atractis scelopori
Anolis brevirostris,Atractis scelopori
Anolis chlorocyanus,Atractis scelopori
Anolis coelestinus,Atractis scelopori
Anolis distichus,Atractis scelopori
