Host,Parasite
Habia rubica,Pelecitus helecinus
Myiarchus swainsoni,Pelecitus helecinus
Pionus maximiliani,Pelecitus helecinus
Pteroglossus aracari,Pelecitus helecinus
Pyriglena leucoptera,Pelecitus helecinus
Ramphastos tucanus,Pelecitus helecinus
Tachyphonus rufus,Pelecitus helecinus
Thamnophilus caerulescens,Pelecitus helecinus
Trichothraupis melanops,Pelecitus helecinus
Veniliornis passerinus,Pelecitus helecinus
Liolaemus lutzae,Pharyngodon cesarpintoi
Accipiter bicolor,Physaloptera acuticauda
Panthera onca,Physaloptera anomala
Puma concolor,Physaloptera digitata
Leopardus wiedii,Physaloptera digitata
Nectomys squamipes,Physaloptera getula
Parabuteo unicinctus,Physaloptera inflata
Leptodon forbesi,Physaloptera losseni
Ameiva ameiva,Physaloptera lutzi
Tropidurus itambere,Physaloptera lutzi
Tropidurus torquatus,Physaloptera lutzi
Metachirus nudicaudatus,Physaloptera mirandai
Choloepus didactylus,Physaloptera papillotruncata
Canis lupus,Physaloptera praeputialis
Chrysocyon brachyurus,Physaloptera praeputialis
Ameiva ameiva,Physaloptera retusa
Hoplobatrachus tigerinus,Physaloptera retusa
Liolaemus lutzae,Physaloptera retusa
Tropidurus torquatus,Physaloptera retusa
Nasua nasua,Physaloptera semilanceolata
Accipiter bicolor,Physaloptera subalata
Puma concolor,Physaloptera terdentata
Cuniculus paca,Physaloptera torresi
Tropidurus torquatus,Physalopteroides venancioi
Bradypus tridactylus,Physocephalus gracilis
Mazama gouazoubira,Physocephalus lassancei
Cuniculus paca,Physocephalus meridionalis
Dasyprocta azarae,Physocephalus meridionalis
Tapirus terrestris,Physocephalus meridionalis
Tapirus terrestris,Physocephalus nitidulans
Ardea cocoi,Porrocaecum reticulatum
Ardea alba,Porrocaecum reticulatum
Egretta thula,Porrocaecum reticulatum
Nycticorax nycticorax,Porrocaecum reticulatum
Tigrisoma lineatum,Porrocaecum reticulatum
Callithrix jacchus,Primasubulura distans
Saguinus mystax,Primasubulura distans
Callithrix penicillata,Primasubulura jacchi
Chelidoptera tenebrosa,Procyrnea anterovulvata
Celeus flavescens,Procyrnea colaptes
Harpagus diodon,Procyrnea leptoptera
Milvago chimachima,Procyrnea leptoptera
Caracara plancus,Procyrnea leptoptera
Celeus flavescens,Procyrnea pileata
Picumnus cirratus,Procyrnea pileata
Ramphastos tucanus,Procyrnea pileata
Galictis vittata,Pseudocapillaria linsi
Procyon cancrivorus,Pseudocapillaria pearsoni
Liolaemus lutzae,Pseudocapillaria maricaensis
Sturnira lilium,Pseudocapillaria pusilla
Molossus rufus,Pterothominx angrensis
Myotis nigricans,Pterothominx brevidelphis
Leptodactylus mystaceus,Pteroxyascaris caudacutus
Leptodactylus macrosternum,Pteroxyascaris similis
Leptodactylus ocellatus,Pteroxyascaris similis
Leptodactylus pentadactylus,Pteroxyascaris similis
Eumops perotis,Pterygodermatites elegans
Caluromys philander,Pterygodermatites jagerskioldi
Gracilinanus microtarsus,Pterygodermatites jagerskioldi
Myocastor coypus,Pudica alpha
Proechimys guyannensis,Pudica evandroi
Blastocerus dichotomus,Pygarginema verrucosa
Hoplobatrachus tigerinus,Rhabdias androgyna
Proceratophrys appendiculata,Rhabdias androgyna
Leptodactylus pentadactylus,Rhabdias fuelleborni
Oxymycterus rufus,Rictularioides amphiacanthum
Dasypus novemcinctus,Schneidernema retusa
Leptodactylus pentadactylus,Schrankiana brasili
Leptodactylus pentadactylus,Schrankiana freitasi
Leptodactylus pentadactylus,Schrankiana larvata
Leptodactylus pentadactylus,Schrankiana schranki
Ceratophrys cornuta,Schulzia subventricosa
Proceratophrys appendiculata,Schulzia travassosi
Tringa melanoleuca,Sciadiocara umbellifera
Sciurus aestuans,Sciurodendrium hepaticum
Sciurus aestuans,Sciurodendrium oliverai
Podocnemis expansa,Serpinema amazonicus
Mazama americana,Setaria bidentata
Tropidurus torquatus,Skrjabinelazia intermedia
Procyon cancrivorus,Skrjabinoclava thapari
Philander opossum,Skrjabinofilaria skrjabini
Chrysocyon brachyurus,Spirocerca lupi
Marmosa murina,Spirura guianensis
Philander opossum,Spirura guianensis
Selenidera maculirostris,Splendidofilaria gedoelsti
Phyllostomus hastatus,Stilestrongylus octacanthus
Leptodactylus furnarius,Strongyloides carinii
Leptodactylus gracilis,Strongyloides carinii
Leptodactylus jolyi,Strongyloides carinii
Brachyteles arachnoides,Strongyloides cebus
Hydrochoerus hydrochaeris,Strongyloides chapini
Kerodon rupestris,Strongyloides ferreirai
Macaca mulatta,Strongyloides fuelleborni
Procyon lotor,Strongyloides myopotami
Rattus norvegicus,Strongyloides ratti
Rattus norvegicus,Strongyloides venezuelensis
Ameiva ameiva,Strongyluris oscari
Tropidurus torquatus,Strongyluris oscari
Caluromys philander,Subulura amazonica
Caluromys philander,Subulura interrogans
Cyanocorax cayanus,Subulura papillosa
Crotophaga ani,Subulura reclinata
Chelidoptera tenebrosa,Subulura travassosi
Monasa atra,Subulura travassosi
Monasa morphoeus,Subulura travassosi
Monasa nigrifrons,Subulura travassosi
Nonnula rubecula,Subulura travassosi
Notharchus macrorhynchos,Subulura travassosi
Notharchus tectus,Subulura travassosi
Nystalus chacuru,Subulura travassosi
Nystalus maculatus,Subulura travassosi
Nystalus striolatus,Subulura travassosi
Nyctanassa violacea,Synhimantus magnipapillatus
Milvago chimachima,Synhimantus rectus
Rattus norvegicus,Syphacia obvelata
Nectomys squamipes,Syphacia venteli
Calomys callosus,Syphacia criceti
Oligoryzomys nigripes,Syphacia alata
Nycticorax nycticorax,Tetrameres cochleare
Melanerpes flavifrons,Tetrameres cruzi
Notharchus macrorhynchos,Tetrameres cruzi
Nyctanassa violacea,Tetrameres micropensis
Passer domesticus,Tetrameres minima
Cyanocorax chrysops,Tetrameres sp.
Theristicus caudatus,Tetrameres spirospiculum
Saguinus mystax,Tetrapetalonema mystaxi
Ameiva ameiva,Thelandros scleratus
Liolaemus lutzae,Thelandros scleratus
Tropidurus itambere,Thelandros scleratus
Tropidurus torquatus,Thelandros scleratus
Crax fasciolata,Thelazia anolabiata
Pteroglossus aracari,Thelazia anolabiata
Ramphastos toco,Thelazia digitata
Dasyprocta azarae,Thelazia iheringi
Dasyprocta azarae,Thelazia travassosfreitasi
Accipiter bicolor,Thelazia aquilina
Buteogallus urubitinga,Thelazia aquilina
Milvago chimachima,Thelazia aquilina
Caracara plancus,Thelazia aquilina
Pteroglossus aracari,Thelazia spizaeti
Ameiva ameiva,Thubunaea dactlyuris
Eira barbara,Toxascaris leonina
Leopardus pardalis,Toxascaris leonina
Puma concolor,Toxascaris leonina
Nasua nasua,Toxocara alienata
Procyon cancrivorus,Toxocara alienata
Canis lupus,Toxocara canis
Cerdocyon thous,Toxocara canis
Chrysocyon brachyurus,Toxocara canis
Leopardus pardalis,Toxocara canis
Puma concolor,Toxocara canis
Leopardus pardalis,Toxocara mystax
Panthera onca,Toxocara mystax
Puma concolor,Toxocara mystax
Bubalus bubalis,Toxocara vitulorum
Didelphis aurita,Travassostrongylus callis
Didelphis marsupialis,Travassostrongylus callis
Didelphis albiventris,Travassostrongylus orloffi
Didelphis marsupialis,Travassostrongylus orloffi
Metachirus nudicaudatus,Travassostrongylus orloffi
Metachirus nudicaudatus,Travassostrongylus quator
Metachirus nudicaudatus,Travassostrongylus quintus
Metachirus nudicaudatus,Travassostrongylus sextus
Philander opossum,Travassostrongylus tertius
Noctilio leporinus,Trichohelix proencai
Conepatus chinga,Trichohelix tuberculata
Euphractus sexcinctus,Trichohelix tuberculata
Trachops cirrhosus,Tricholeiperia leiperi
Hydrochoerus hydrochaeris,Trichostrongylus axei
Cavia aperea,Trichostrongylus yoshidai
Didelphis albiventris,Trichuris didelphis
Dasyprocta leporina,Trichuris gracilis
Dasypus novemcinctus,Trichuris minuta
Didelphis aurita,Trichuris minuta
Didelphis marsupialis,Trichuris minuta
Marmosa murina,Trichuris minuta
Myocastor coypus,Trichuris myocastoris
Felis silvestris,Trichuris serratus
Oligoryzomys nigripes,Trichuris travassosi
Chrysocyon brachyurus,Trichuris vulpis
Cyclopes didactylus,Trifurcata major
Tamandua tetradactyla,Trifurcata minuscula
Didelphis marsupialis,Troglostrongylus delicatus
Brachyteles arachnoides,Trypanoxyuris brachytelesi
Callithrix jacchus,Trypanoxyuris callithricis
Aotus trivirgatus,Trypanoxyuris microon
Alouatta belzebul,Trypanoxyuris minutus
Alouatta caraya,Trypanoxyuris minutus
Alouatta seniculus,Trypanoxyuris minutus
Ateles paniscus,Trypanoxyuris minutus
Saimiri sciureus,Trypanoxyuris minutus
Alouatta caraya,Trypanoxyuris sp.
Cuniculus paca,Turgida torresi
Caluromys philander,Turgida turgida
Chironectes minimus,Turgida turgida
Didelphis albiventris,Turgida turgida
Didelphis marsupialis,Turgida turgida
Metachirus nudicaudatus,Turgida turgida
Philander opossum,Turgida turgida
Procyon cancrivorus,Uncinaria maxillaris
Chrysocyon brachyurus,Uncinaria stenocephala
Cuniculus paca,Vianella avellari
Sylvilagus brasiliensis,Vianella fariasi
Didelphis albiventris,Viannaia hamata
Didelphis marsupialis,Viannaia hamata
Marmosa murina,Viannaia hamata
Philander opossum,Viannaia hamata
Monodelphis domestica,Viannaia monodelphisi
Didelphis marsupialis,Viannaia pusilla
Metachirus nudicaudatus,Viannaia pusilla
Philander opossum,Viannaia skrjabini
Didelphis marsupialis,Viannaia viannai
Cyanocorax chrysops,Viktorocara brasiliensis
Hydrochoerus hydrochaeris,Yatesia hydrochoerus
Melanitta fusca,Amidostomum acutum
Melanitta nigra,Amidostomum acutum
Branta canadensis,Amidostomum anseris
Bucephala clangula,Amidostomum anseris
Cygnus buccinator,Amidostomum anseris
Cygnus columbianus,Amidostomum anseris
Ixoreus naevius,Ascaridia galli
Turdus migratorius,Ascaridia galli
Procyon lotor,Baylisascaris procyonis
Melanitta fusca,Capillaria nyrocinarum
Melanitta nigra,Capillaria nyrocinarum
Ixoreus naevius,Capillaria obsignata
Turdus migratorius,Capillaria obsignata
Ixoreus naevius,Capillaria quiscali
Turdus migratorius,Capillaria quiscali
Ambystoma gracile,Chabaudgolvania waldeni
Bonasa umbellus,Chandlerella chitwoodae
Dendragapus obscurus,Chandlerella chitwoodae
Ardea herodias,Desmidocercella numidica
Pluvialis squatarola,Desmidocercella numidica
Melanitta nigra,Echinuria hypognatha
Taricha granulosa,Megalobatrachonema moraveci
Ambystoma gracile,Megalobatrachonema waldeni
Dendragapus obscurus,Molinacuaria bendelli
Cepphus columba,Paracuaria adunca
Larus argentatus,Paracuaria adunca
Larus canus,Paracuaria adunca
Larus glaucescens,Paracuaria adunca
Larus thayeri,Paracuaria adunca
Podiceps auritus,Paracuaria adunca
Uria aalge,Paracuaria adunca
Odocoileus virginianus,Parelaphostrongylus andersoni
Odocoileus hemionus,Parelaphostrongylus odocoilei
Ovis dalli,Parelaphostrongylus odocoilei
Ixoreus naevius,Porrocaecum ensicaudatum
Cygnus buccinator,Sarconema eurycerca
Cygnus columbianus,Sarconema eurycerca
Bonasa umbellus,Splendidofilaria pectoralis
Dendragapus obscurus,Splendidofilaria pectoralis
Tympanuchus phasianellus,Splendidofilaria pectoralis
Calidris mauri,Stellocaronema skrjabini
Anas platyrhynchos,Streptocara californica
Aythya marila,Streptocara californica
Aythya valisineria,Streptocara californica
Bucephala islandica,Streptocara californica
Clangula hyemalis,Streptocara californica
Melanitta fusca,Streptocara californica
Mergus merganser,Streptocara californica
Mergus serrator,Streptocara californica
Anas clypeata,Streptocara crassicauda
Anas platyrhynchos,Streptocara crassicauda
Aythya marila,Streptocara crassicauda
Aythya valisineria,Streptocara crassicauda
Bucephala clangula,Streptocara crassicauda
Bucephala islandica,Streptocara crassicauda
Cepphus columba,Streptocara crassicauda
Clangula hyemalis,Streptocara crassicauda
Larus thayeri,Streptocara crassicauda
Lophodytes cucullatus,Streptocara crassicauda
Melanitta fusca,Streptocara crassicauda
Mergus merganser,Streptocara crassicauda
Mergus serrator,Streptocara crassicauda
Oxyura jamaicensis,Streptocara crassicauda
Tympanuchus phasianellus,Streptocara crassicauda
Anas platyrhynchos,Streptocara formosensis
Bucephala albeola,Streptocara formosensis
Bucephala clangula,Streptocara formosensis
Bucephala islandica,Streptocara formosensis
Clangula hyemalis,Streptocara formosensis
Melanitta fusca,Streptocara formosensis
Mergus merganser,Streptocara formosensis
Mergus serrator,Streptocara formosensis
Podiceps auritus,Streptocara recta
Ixoreus naevius,Syngamus merulae
Turdus migratorius,Syngamus merulae
Melanitta fusca,Tetrameres somateriae
Calidris alpina,Viktorocara limosae
Natrix natrix,Abbreviata abbreviata
Vipera ammodytes,Abbreviata abbreviata
Alectoris chukar,Acuaria gruveli
Martes foina,Angiostrongylus daskalovi
Martes martes,Angiostrongylus daskalovi
Meles meles,Angiostrongylus daskalovi
Sorex minutus,Angiostrongylus soricis
Apodemus flavicollis,Armocapillaria sadovskoi
Apodemus sylvaticus,Armocapillaria sadovskoi
Alectoris chukar,Ascaridia compar
Alectoris graeca,Ascaridia compar
Alectoris chukar,Ascaridia dissimilis
Alectoris chukar,Ascaridia galli
Erinaceus concolor,Ascarops strongylina
Erinaceus roumanicus,Ascarops strongylina
Sorex araneus,Ascarops strongylina
Sorex minutus,Ascarops strongylina
Apodemus flavicollis,Boreostrongylus minutus
Microtus arvalis,Boreostrongylus minutus
Alectoris chukar,Capillaria bursata
Alectoris chukar,Capillaria caudinflata
Lyrurus tetrix,Capillaria caudinflata
Tetrao urogallus,Capillaria caudinflata
Crocidura leucodon,Capillaria exigua
Crocidura suaveolens,Capillaria exigua
Erinaceus concolor,Capillaria exigua
Erinaceus roumanicus,Capillaria exigua
Neomys anomalus,Capillaria exigua
Neomys fodiens,Capillaria exigua
Sorex araneus,Capillaria exigua
Sorex minutus,Capillaria exigua
Crocidura leucodon,Capillaria incrassata
Crocidura suaveolens,Capillaria incrassata
Neomys anomalus,Capillaria incrassata
Neomys fodiens,Capillaria incrassata
Sorex araneus,Capillaria incrassata
Sorex minutus,Capillaria incrassata
Talpa europaea,Capillaria incrassata
Neomys anomalus,Capillaria kutori
Neomys fodiens,Capillaria kutori
Sorex araneus,Capillaria kutori
Sorex minutus,Capillaria kutori
Apodemus flavicollis,Capillaria murissylvatici
Apodemus sylvaticus,Capillaria murissylvatici
Microtus arvalis,Capillaria murissylvatici
Neomys anomalus,Capillaria petrovi
Miniopterus schreibersii,Capillaria pulchra
Talpa europaea,Capillaria talpae
Ovis ammon,Chabertia ovina
Pelecanus onocrotalus,Contracaecum micropapillatum
Erinaceus roumanicus,Crenosoma lophocara
Meles meles,Crenosoma melesi
Martes foina,Crenosoma petrowi
Canis lupus,Crenosoma vulpis
Vulpes vulpes,Crenosoma vulpis
Spalax leucodon,Dessetia moldovensis
Ovis ammon,Dictyocaulus filaria
Aythya ferina,Epomidiostomum penelopi
Anas acuta,Epomidiostomum uncinatum
Anas crecca,Epomidiostomum uncinatum
Anas platyrhynchos,Epomidiostomum uncinatum
Anas querquedula,Epomidiostomum uncinatum
Erinaceus concolor,Eucoleus tenuis
Erinaceus roumanicus,Eucoleus tenuis
Natrix natrix,Eustrongylides excisus
Alectoris chukar,Ganguleterakis macroura
Alectoris chukar,Ganguleterakis tenuicauda
Apodemus flavicollis,Gongylonema problematicum
Apodemus sylvaticus,Gongylonema problematicum
Mus musculus,Gongylonema problematicum
Ovis ammon,Gongylonema pulchrum
Spalax leucodon,Heligmonina nevoi
Microtus arvalis,Heligmosomoides laevis
Microtus subterraneus,Heligmosomoides laevis
Ondatra zibethicus,Heligmosomoides laevis
Apodemus agrarius,Heligmosomoides polygyrus
Apodemus flavicollis,Heligmosomoides polygyrus
Apodemus mystacinus,Heligmosomoides polygyrus
Microtus arvalis,Heligmosomum costellatum
Microtus subterraneus,Heligmosomum costellatum
Ondatra zibethicus,Heligmosomum polygyrum
Apodemus flavicollis,Heligmosomum skrjabini
Apodemus sylvaticus,Heligmosomum skrjabini
Sorex araneus,Hepaticola cholidicola
Apodemus flavicollis,Hepaticola hepatica
Apodemus sylvaticus,Hepaticola hepatica
Crocidura leucodon,Hepaticola soricicola
Crocidura suaveolens,Hepaticola soricicola
Neomys anomalus,Hepaticola soricicola
Sorex araneus,Hepaticola soricicola
Sorex minutus,Hepaticola soricicola
Alectoris chukar,Heterakis gallinarum
Lyrurus tetrix,Heterakis gallinarum
Tetrao urogallus,Heterakis gallinarum
Vipera ammodytes,Hexametra quadricornis
Pipistrellus nathusii,Litomosa beshkovi
Crocidura leucodon,Longistriata confusa
Crocidura suaveolens,Longistriata confusa
Sorex araneus,Longistriata depressa
Sorex minutus,Longistriata depressa
Neomys anomalus,Longistriata neomi
Neomys fodiens,Longistriata neomi
Sorex araneus,Longistriata pseudodidas
Ovis ammon,Marshallagia marshalli
Apodemus agrarius,Mastophorus muris
Apodemus mystacinus,Mastophorus muris
Mustela putorius,Molineus patens
Myotis myotis,Molinostrongylus alatus
Miniopterus schreibersii,Molinostrongylus panousei
Nyctalus noctula,Molinostrongylus skrjabini
Ovis ammon,Nematodirus filicollis
Ovis ammon,Ostertagia circumcincta
Ovis ammon,Ostertagia occidentalis
Dama dama,Ostertagia ryjikovi
Ovis ammon,Ostertagia trifurcata
Natrix natrix,Oswaldocruzia filiformis
Vipera ammodytes,Paracapillaria viperae
Vipera ammodytes,Paracapillaria sonsinoi
Crocidura leucodon,Paracrenosoma kontrimavichusi
Crocidura suaveolens,Paracrenosoma kontrimavichusi
Sorex araneus,Paracuaria soricis
Glis glis,Paraheligmonina gracilis
Crocidura leucodon,Parastrongyloides winchesi
Crocidura suaveolens,Parastrongyloides winchesi
Neomys anomalus,Parastrongyloides winchesi
Sorex minutus,Parastrongyloides winchesi
Talpa europaea,Parastrongyloides winchesi
Erinaceus concolor,Physaloptera clausa
Erinaceus roumanicus,Physaloptera clausa
Sorex araneus,Physaloptera kotlani
Crocidura suaveolens,Physocephalus sexalatus
Erinaceus concolor,Physocephalus sexalatus
Erinaceus roumanicus,Physocephalus sexalatus
Sorex araneus,Physocephalus sexalatus
Talpa europaea,Physocephalus sexalatus
Natrix natrix,Rhabdias fuscovenosa
Apodemus agrarius,Rictularia proni
Apodemus flavicollis,Rictularia proni
Apodemus mystacinus,Rictularia proni
Apodemus agrarius,Rictularia strumica
Apodemus flavicollis,Rictularia strumica
Emys orbicularis,Serpinema microcephalus
Alectoris chukar,Seurocyrnea eurycerca
Mustela nivalis,Skrjabingylus nasicola
Sorex araneus,Skrjabinoclava soricis
Sorex minutus,Skrjabinoclava soricis
Spalax leucodon,Spalacina yanchevi
Podarcis muralis,Spauligodon extenuatus
Dryomys nitedula,Spirocerca lupi
Erinaceus concolor,Spirocerca lupi
Erinaceus roumanicus,Spirocerca lupi
Emys orbicularis,Spiroxys contorta
Natrix natrix,Spiroxys contorta
Talpa europaea,Spirura talpae
Sorex minutus,Stefanskostrongylus soricis
Alectoris chukar,Streptocara crassicauda
Spermophilus citellus,Streptopharagus kutassi
Typhlops vermicularis,Strongyloides mirzai
Alectoris chukar,Syngamus trachea
Apodemus agrarius,Syphacia agraria
Apodemus flavicollis,Syphacia frederici
Apodemus mystacinus,Syphacia frederici
Microtus subterraneus,Syphacia montana
Microtus arvalis,Syphacia nigeriana
Microtus guentheri,Syphacia nigeriana
Ondatra zibethicus,Syphacia obvelata
Apodemus agrarius,Syphacia stroma
Apodemus flavicollis,Syphacia stroma
Apodemus mystacinus,Syphacia stroma
Micromys minutus,Syphacia vandenbrueli
Micromys minutus,Syphacia vanderbrueli
Vulpes vulpes,Thominx aerophilus
Apodemus agrarius,Thominx gastrica
Apodemus flavicollis,Thominx gastrica
Apodemus sylvaticus,Thominx gastrica
Microtus arvalis,Thominx gastrica
Microtus guentheri,Thominx gastrica
Ondatra zibethicus,Thominx gastrica
Spalax leucodon,Thominx gastrica
Crocidura leucodon,Thominx oesophagicola
Crocidura suaveolens,Thominx oesophagicola
Neomys anomalus,Thominx oesophagicola
Sorex araneus,Thominx oesophagicola
Sorex minutus,Thominx oesophagicola
Alectoris chukar,Thominx perforans
Alectoris chukar,Thominx phasianina
Phasianus colchicus,Thominx phasianina
Felis silvestris,Toxascaris leonina
Felis silvestris,Toxocara mystax
Sus scrofa,Trichinella nelsoni
Apodemus agrarius,Trichocephalus muris
Apodemus flavicollis,Trichocephalus muris
Apodemus mystacinus,Trichocephalus muris
Apodemus sylvaticus,Trichocephalus muris
Microtus arvalis,Trichocephalus muris
Microtus subterraneus,Trichocephalus muris
Mus musculus,Trichocephalus muris
Ovis ammon,Trichocephalus ovis
Talpa europaea,Tricholinstowia talpae
Apodemus agrarius,Trichosomoides crassicauda
Felis silvestris,Trichostrongylus brevis
Spermophilus citellus,Trichostrongylus colubriformis
Spermophilus citellus,Trichostrongylus retortaeformis
Alectoris chukar,Trichostrongylus tenuis
Alectoris graeca,Trichostrongylus tenuis
Anser albifrons,Trichostrongylus tenuis
Meleagris gallopavo,Trichostrongylus tenuis
Perdix perdix,Trichostrongylus tenuis
Apodemus agrarius,Trichuris muris
Apodemus flavicollis,Trichuris muris
Microtus arvalis,Trichuris muris
Meles meles,Uncinaria criniformis
Acridotheres albocinctus,Diplotriaena bhamoensis
Morenia ocellata,Falcaustra rangoonica
Xenochrophis piscator,Ophidascaris piscatori
Calotes versicolor,Parapharyngodon maplestoni
Varanus bengalensis,Physaloptera varani
Xenopus wittei,Batrachocamallanus xenopodis
Nyctereutes procyonoides,Ancylostoma caninum
Mustela putorius,Aonchotheca putorii
Nyctereutes procyonoides,Aonchotheca putorii
Vulpes vulpes,Aonchotheca putorii
Rana arvalis,Aplectana acuminata
Rana temporaria,Aplectana acuminata
Buteo lagopus,Ascaridia galli
Phasianus colchicus,Ascaridia galli
Mustela putorius,Ascaris devosi
Lacerta vivipara,Ascarops strongylina
Natrix natrix,Ascarops strongylina
Rana arvalis,Ascarops strongylina
Talpa europaea,Ascarops strongylina
Vipera berus,Ascarops strongylina
Sorex araneus,Baruscapillaria kutori
Apodemus flavicollis,Baylisascaris devosi
Mustela nivalis,Baylisascaris devosi
Mustela putorius,Baylisascaris devosi
Alces alces,Bunostomum trigonocephalum
Sciurus vulgaris,Calodium hepaticum
Sorex araneus,Calodium soricicola
Talpa europaea,Calodium soricicola
Phasianus colchicus,Capillaria bursata
Columba palumbus,Capillaria caudinflata
Perdix perdix,Capillaria caudinflata
Phasianus colchicus,Capillaria caudinflata
Coloeus monedula,Capillaria corvorum
Corvus corone,Capillaria corvorum
Corvus frugilegus,Capillaria corvorum
Garrulus glandarius,Capillaria corvorum
Pica pica,Capillaria corvorum
Turdus merula,Capillaria corvorum
Apodemus agrarius,Capillaria hepatica
Microtus arvalis,Capillaria hepatica
Lutra lutra,Capillaria mucronata
Mustela nivalis,Capillaria mucronata
Mustela putorius,Capillaria mucronata
Canis lupus,Capillaria plica
Lutra lutra,Capillaria putorii
Mustela nivalis,Capillaria putorii
Mustela putorius,Capillaria putorii
Bufo bufo,Cosmocerca ornata
Rana arvalis,Cosmocerca ornata
Rana temporaria,Cosmocerca ornata
Triturus cristatus,Cosmocerca ornata
Mustela nivalis,Crenosoma taiga
Mustela putorius,Crenosoma taiga
Lutra lutra,Crenosoma vulpis
Nyctereutes procyonoides,Crenosoma vulpis
Alces alces,Dictyocaulus eckerti
Cervus elaphus,Dictyocaulus eckerti
Mustela putorius,Eucoleus aerophilus
Nyctereutes procyonoides,Eucoleus aerophilus
Vulpes vulpes,Eucoleus aerophilus
Mustela nivalis,Filaroides martis
Mustela putorius,Filaroides martis
Sorex araneus,Gongylonema soricis
Buteo lagopus,Heterakis gallinarum
Phasianus colchicus,Heterakis gallinarum
Talpa europaea,Liniscus incrassatus
Talpa europaea,Longistriata vigisi
Apodemus flavicollis,Mastophorus muris
Microtus agrestis,Mastophorus muris
Sciurus vulgaris,Mastophorus muris
Sciurus vulgaris,Mastophorus petrowi
Mustela nivalis,Molineus patens
Nyctereutes procyonoides,Molineus patens
Pipistrellus pipistrellus,Molinostrongylus alatus
Plecotus auritus,Molinostrongylus skrjabini
Mustela putorius,Mustelivingylus skrjabini
Cervus elaphus,Nematodirus oiratianus
Bufo bufo,Neoraillietnema praeputiale
Rana arvalis,Neoraillietnema praeputiale
Rana temporaria,Neoraillietnema praeputiale
Bufo bufo,Neoxysomatium brevicaudatum
Natrix natrix,Neoxysomatium brevicaudatum
Rana arvalis,Neoxysomatium brevicaudatum
Rana temporaria,Neoxysomatium brevicaudatum
Vipera berus,Neoxysomatium brevicaudatum
Alces alces,Oesophagostomum venulosum
Cervus elaphus,Onchocerca flexuosa
Bufo bufo,Oswaldocruzia filiformis
Lacerta vivipara,Oswaldocruzia filiformis
Rana arvalis,Oswaldocruzia filiformis
Rana temporaria,Oswaldocruzia filiformis
Vipera berus,Oswaldocruzia filiformis
Lepus europaeus,Passalurus ambiguus
Mustela putorius,Pearsonema mucronata
Nyctereutes procyonoides,Pearsonema plica
Vulpes vulpes,Pearsonema plica
Lacerta vivipara,Physocephalus sexalatus
Natrix natrix,Physocephalus sexalatus
Vipera berus,Physocephalus sexalatus
Anas penelope,Porrocaecum crassum
Anas platyrhynchos,Porrocaecum crassum
Anas querquedula,Porrocaecum crassum
Botaurus stellaris,Porrocaecum crassum
Sorex araneus,Porrocaecum depressum
Talpa europaea,Porrocaecum depressum
Alauda arvensis,Porrocaecum ensicaudatum
Bucephala clangula,Porrocaecum ensicaudatum
Calidris alpina,Porrocaecum ensicaudatum
Charadrius hiaticula,Porrocaecum ensicaudatum
Coloeus monedula,Porrocaecum ensicaudatum
Corvus corone,Porrocaecum ensicaudatum
Corvus frugilegus,Porrocaecum ensicaudatum
Garrulus glandarius,Porrocaecum ensicaudatum
Lanius collurio,Porrocaecum ensicaudatum
Limosa lapponica,Porrocaecum ensicaudatum
Limosa limosa,Porrocaecum ensicaudatum
Luscinia luscinia,Porrocaecum ensicaudatum
Motacilla alba,Porrocaecum ensicaudatum
Oenanthe oenanthe,Porrocaecum ensicaudatum
Tringa totanus,Porrocaecum ensicaudatum
Turdus iliacus,Porrocaecum ensicaudatum
Turdus philomelos,Porrocaecum ensicaudatum
Turdus pilaris,Porrocaecum ensicaudatum
Turdus viscivorus,Porrocaecum ensicaudatum
Vanellus vanellus,Porrocaecum ensicaudatum
Calidris alpina,Porrocaecum semiteres
Charadrius hiaticula,Porrocaecum semiteres
Lanius collurio,Porrocaecum semiteres
Larus canus,Porrocaecum semiteres
Limosa limosa,Porrocaecum semiteres
Numenius arquata,Porrocaecum semiteres
Philomachus pugnax,Porrocaecum semiteres
Tringa glareola,Porrocaecum semiteres
Actitis hypoleucos,Porrocaecum semiteres
Tringa totanus,Porrocaecum semiteres
Turdus philomelos,Porrocaecum semiteres
Turdus pilaris,Porrocaecum semiteres
Turdus viscivorus,Porrocaecum semiteres
Vanellus vanellus,Porrocaecum semiteres
Lepus europaeus,Protostrongylus terminalis
Sciurus vulgaris,Pterothominx sadovskoi
Bufo bufo,Rhabdias bufonis
Rana arvalis,Rhabdias bufonis
Rana temporaria,Rhabdias bufonis
Apodemus agrarius,Rictularia cristata
Lutra lutra,Skrjabingylus nasicola
Mustela putorius,Skrjabingylus nasicola
Mustela putorius,Sobolevingylus petrowi
Canis lupus,Spirocerca lupi
Martes foina,Spirocerca lupi
Martes martes,Spirocerca lupi
Mustela nivalis,Spirocerca lupi
Mustela putorius,Spirocerca lupi
Vulpes vulpes,Spirocerca lupi
Nyctereutes procyonoides,Strongyloides erschowi
Lutra lutra,Strongyloides martis
Mustela nivalis,Strongyloides martis
Mustela putorius,Strongyloides martis
Vulpes vulpes,Strongyloides vulpis
Turdus merula,Syngamus merulae
Turdus iliacus,Syngamus merulae
Turdus philomelos,Syngamus merulae
Turdus pilaris,Syngamus merulae
