"","Host","Parasite","ParasiteFull","group","locality","hostgroup"
"2","Squalus blainville","Acanthocephaloides incrassatus","Acanthocephaloides incrassatus (Molin, 1858)","Acanthocephala","Adriatic Sea","Chondrichthyes"
"3","Gobius bucchichi","Acanthocephaloides propinquus","Acanthocephaloides propinquus (Dujardin, 1845)","Acanthocephala","Adriatic Sea","Teleostei"
"4","Gobius cruentatus","Acanthocephaloides propinquus","Acanthocephaloides propinquus (Dujardin, 1845)","Acanthocephala","Adriatic Sea","Teleostei"
"5","Gobius niger","Acanthocephaloides propinquus","Acanthocephaloides propinquus (Dujardin, 1845)","Acanthocephala","Adriatic Sea","Teleostei"
"6","Lesueurigobius friesii","Acanthocephaloides propinquus","Acanthocephaloides propinquus (Dujardin, 1845)","Acanthocephala","Adriatic Sea","Teleostei"
"7","Mustelus mustelus","Acanthocephaloides propinquus","Acanthocephaloides propinquus (Dujardin, 1845)","Acanthocephala","Adriatic Sea","Chondrichthyes"
"8","Liza aurata","Acanthogyrus lizae","Acanthogyrus (Acanthosentis) lizae Orecchia, Paggi & Radujkovic, 1988","Acanthocephala","Adriatic Sea","Teleostei"
"9","Chelon labrosus","Neoechinorhynchus agilis","Neoechinorhynchus agilis (Rudolphi, 1819)","Acanthocephala","Adriatic Sea","Teleostei"
"10","Liza aurata","Neoechinorhynchus agilis","Neoechinorhynchus agilis (Rudolphi, 1819)","Acanthocephala","Adriatic Sea","Teleostei"
"11","Liza ramado","Neoechinorhynchus agilis","Neoechinorhynchus agilis (Rudolphi, 1819)","Acanthocephala","Adriatic Sea",NA
"12","Brama raii","Rhadinorhynchus pristis","Rhadinorhynchus pristis (Rudolphi, 1802)","Acanthocephala","Adriatic Sea",NA
"13","Atherina boyeri","Telosentis exiguus","Telosentis exiguus (von Linstow, 1901)","Acanthocephala","Adriatic Sea","Teleostei"
"17","Labeo cylindricus","Acanthogyrus malawiensis","Acanthogyrus (Acanthosentis) malawiensis Amin & Hendrix, 1999","Acanthocephala","African freshwater lakes","Teleostei"
"18","Aristochromis christyi","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"19","Bagrus meridionalis","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"20","Copidochromis thinos","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes",NA
"21","Ctenopharynx pictus","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"22","Genychromis mento","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes",NA
"23","Labeotropheus fullerborni","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes",NA
"24","Limnochromis acuticeps","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes",NA
"25","Melanochromis auratus","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"26","Melanochromis heterochromis","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"27","Metriaclima zebra","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"29","Petrotilapia genalutea","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"30","Placidochromis johnstoni","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"31","Protomelas annectens","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"32","Pseudotropheus tropheops","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"33","Stigmatochromis woodi","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"34","Tilapia lidole","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes",NA
"35","Trematocranus placodon","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"36","Tyrannochromis macrostoma","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"37","Centrarchus macropterus","Eocollis arcanus","Eocollis arcanus Van Cleave, 1947","Acanthocephala","Alabama","Teleostei"
"38","Lepomis macrochirus","Eocollis arcanus","Eocollis arcanus Van Cleave, 1947","Acanthocephala","Alabama","Teleostei"
"39","Minytrema melanops","Eocollis catostomi","Eocollis catostomi Buckner, 1992","Acanthocephala","Alabama","Teleostei"
"40","Moxostoma poecilurum","Eocollis catostomi","Eocollis catostomi Buckner, 1992","Acanthocephala","Alabama","Teleostei"
"41","Aphredoderus sayanus","Leptorhynchoides aphredoderi","Leptorhynchoides aphredoderi Buckner & Buckner, 1976","Acanthocephala","Alabama","Teleostei"
"42","Lepomis gulosus","Leptorhynchoides aphredoderi","Leptorhynchoides aphredoderi Buckner & Buckner, 1976","Acanthocephala","Alabama","Teleostei"
"45","Homo sapiens","Acanthocephalus rauschi","Acanthocephalus rauschi (Schmidt, 1969)","Acanthocephala","Alaska","Mammalia"
"46","Erolia ptilocnemis","Arhythmorhynchus comptus","Arhythmorhynchus comptus Van Cleave & Rausch, 1950","Acanthocephala","Alaska",NA
"47","Vulpes lagopus","Corynosoma clavatum","Corynosoma clavatum Goss, 1940","Acanthocephala","Alaska",NA
"48","Gavia stellata","Corynosoma clavatum","Corynosoma clavatum Goss, 1940","Acanthocephala","Alaska","Aves"
"49","Vulpes lagopus","Corynosoma semerme","Corynosoma semerme (Forssell, 1904)","Acanthocephala","Alaska",NA
"50","Lota lota","Corynosoma semerme","Corynosoma semerme (Forssell, 1904)","Acanthocephala","Alaska","Teleostei"
"51","Histriophoca fasciata","Corynosoma semerme","Corynosoma semerme (Forssell, 1904)","Acanthocephala","Alaska","Mammalia"
"52","Phoca largha","Corynosoma semerme","Corynosoma semerme (Forssell, 1904)","Acanthocephala","Alaska","Mammalia"
"56","Vulpes lagopus","Corynosoma strumosum","Corynosoma strumosum (Rudolphi, 1802)","Acanthocephala","Alaska",NA
"57","Homo sapiens","Corynosoma strumosum","Corynosoma strumosum (Rudolphi, 1802)","Acanthocephala","Alaska","Mammalia"
"58","Larus glaucescens","Corynosoma strumosum","Corynosoma strumosum (Rudolphi, 1802)","Acanthocephala","Alaska","Aves"
"59","Lota lota","Corynosoma strumosum","Corynosoma strumosum (Rudolphi, 1802)","Acanthocephala","Alaska","Teleostei"
"60","Phalacrocorax pelagicus","Corynosoma strumosum","Corynosoma strumosum (Rudolphi, 1802)","Acanthocephala","Alaska","Aves"
"61","Histriophoca fasciata","Corynosoma strumosum","Corynosoma strumosum (Rudolphi, 1802)","Acanthocephala","Alaska","Mammalia"
"62","Phoca largha","Corynosoma strumosum","Corynosoma strumosum (Rudolphi, 1802)","Acanthocephala","Alaska","Mammalia"
"63","Uria lomvia","Corynosoma strumosum","Corynosoma strumosum (Rudolphi, 1802)","Acanthocephala","Alaska","Aves"
"64","Vulpes vulpes","Corynosoma strumosum","Corynosoma strumosum (Rudolphi, 1802)","Acanthocephala","Alaska","Mammalia"
"65","Vulpes lagopus","Corynosoma validum","Corynosoma validum Van Cleave, 1953","Acanthocephala","Alaska",NA
"66","Canis lupus","Corynosoma validum","Corynosoma validum Van Cleave, 1953","Acanthocephala","Alaska","Mammalia"
"67","Histriophoca fasciata","Corynosoma validum","Corynosoma validum Van Cleave, 1953","Acanthocephala","Alaska","Mammalia"
"68","Phoca largha","Corynosoma validum","Corynosoma validum Van Cleave, 1953","Acanthocephala","Alaska","Mammalia"
"70","Aethia cristatella","Corynosoma villosum","Corynosoma villosum Van Cleave, 1953","Acanthocephala","Alaska","Aves"
"71","Vulpes lagopus","Corynosoma villosum","Corynosoma villosum Van Cleave, 1953","Acanthocephala","Alaska",NA
"72","Vulpes lagopus","Polymorphus minutus","Polymorphus minutus (Zeder, 1800)","Acanthocephala","Alaska",NA
"74","Podiceps grisegena","Corynosoma constrictum","Corynosoma constrictum Van Cleave, 1918","Acanthocephala","Alberta","Aves"
"75","Recurvirostra americana","Corynosoma constrictum","Corynosoma constrictum Van Cleave, 1918","Acanthocephala","Alberta","Aves"
"76","Mallotus villosus","Echinorhynchus gadi","Echinorhynchus gadi Zoega in Muller, 1776","Acanthocephala","Alberta","Teleostei"
"77","Salmo salar","Echinorhynchus gadi","Echinorhynchus gadi Zoega in Muller, 1776","Acanthocephala","Alberta","Teleostei"
"78","Salvelinus fontinalis","Echinorhynchus gadi","Echinorhynchus gadi Zoega in Muller, 1776","Acanthocephala","Alberta","Teleostei"
"79","Catostomus catostomus","Echinorhynchus salmonis","Echinorhynchus salmonis Muller, 1784","Acanthocephala","Alberta","Teleostei"
"80","Catostomus commersonii","Echinorhynchus salmonis","Echinorhynchus salmonis Muller, 1784","Acanthocephala","Alberta",NA
"81","Coregonus artedi","Echinorhynchus salmonis","Echinorhynchus salmonis Muller, 1784","Acanthocephala","Alberta",NA
"82","Coregonus clupeaformis","Echinorhynchus salmonis","Echinorhynchus salmonis Muller, 1784","Acanthocephala","Alberta","Teleostei"
"83","Esox lucius","Echinorhynchus salmonis","Echinorhynchus salmonis Muller, 1784","Acanthocephala","Alberta","Teleostei"
"84","Lota lota","Echinorhynchus salmonis","Echinorhynchus salmonis Muller, 1784","Acanthocephala","Alberta","Teleostei"
"85","Oncorhynchus kisutch","Echinorhynchus salmonis","Echinorhynchus salmonis Muller, 1784","Acanthocephala","Alberta","Teleostei"
"86","Osmerus mordax","Echinorhynchus salmonis","Echinorhynchus salmonis Muller, 1784","Acanthocephala","Alberta","Teleostei"
"87","Pungitius pungitius","Echinorhynchus salmonis","Echinorhynchus salmonis Muller, 1784","Acanthocephala","Alberta","Teleostei"
"88","Salvelinus namaycush","Echinorhynchus salmonis","Echinorhynchus salmonis Muller, 1784","Acanthocephala","Alberta","Teleostei"
"89","Sander vitreus","Echinorhynchus salmonis","Echinorhynchus salmonis Muller, 1784","Acanthocephala","Alberta",NA
"91","Numenius americanus","Mediorhynchus robustus","Mediorhynchus robustus Van Cleave, 1916","Acanthocephala","Alberta","Aves"
"93","Catostomus catostomus","Neoechinorhynchus cristatus","Neoechinorhynchus cristatus Lynch, 1936","Acanthocephala","Alberta","Teleostei"
"94","Catostomus commersonii","Neoechinorhynchus cristatus","Neoechinorhynchus cristatus Lynch, 1936","Acanthocephala","Alberta",NA
"95","Catostomus catostomus","Neoechinorhynchus rutili","Neoechinorhynchus rutili (Muller, 1780)","Acanthocephala","Alberta","Teleostei"
"97","Catostomus commersonii","Neoechinorhynchus strigosus","Neoechinorhynchus strigosus Van Cleave, 1949","Acanthocephala","Alberta",NA
"98","Esox lucius","Neoechinorhynchus strigosus","Neoechinorhynchus strigosus Van Cleave, 1949","Acanthocephala","Alberta","Teleostei"
"99","Oncorhynchus kisutch","Neoechinorhynchus strigosus","Neoechinorhynchus strigosus Van Cleave, 1949","Acanthocephala","Alberta","Teleostei"
"102","Aechmophorus occidentalis","Polymorphus marilis","Polymorphus marilis Van Cleave, 1939","Acanthocephala","Alberta","Aves"
"103","Tringa semipalmata","Polymorphus marilis","Polymorphus marilis Van Cleave, 1939","Acanthocephala","Alberta",NA
"104","Gammarus lacustris","Polymorphus marilis","Polymorphus marilis Van Cleave, 1939","Acanthocephala","Alberta","Malacostraca"
"105","Podiceps grisegena","Polymorphus marilis","Polymorphus marilis Van Cleave, 1939","Acanthocephala","Alberta","Aves"
"106","Podiceps nigricollis","Polymorphus marilis","Polymorphus marilis Van Cleave, 1939","Acanthocephala","Alberta","Aves"
"107","Anas platyrhynchos","Polymorphus paradoxus","Polymorphus paradoxus Connell & Corner, 1957","Acanthocephala","Alberta","Aves"
"108","Gammarus lacustris","Polymorphus paradoxus","Polymorphus paradoxus Connell & Corner, 1957","Acanthocephala","Alberta","Malacostraca"
"110","Catostomus commersonii","Pomphorhynchus bulbocolli","Pomphorhynchus bulbocolli (Linkins, 1919)","Acanthocephala","Alberta",NA
"111","Coregonus artedi","Pomphorhynchus bulbocolli","Pomphorhynchus bulbocolli (Linkins, 1919)","Acanthocephala","Alberta",NA
"112","Coregonus clupeaformis","Pomphorhynchus bulbocolli","Pomphorhynchus bulbocolli (Linkins, 1919)","Acanthocephala","Alberta","Teleostei"
"113","Oncorhynchus kisutch","Pomphorhynchus bulbocolli","Pomphorhynchus bulbocolli (Linkins, 1919)","Acanthocephala","Alberta","Teleostei"
"114","Ptychocheilus oregonensis","Pomphorhynchus bulbocolli","Pomphorhynchus bulbocolli (Linkins, 1919)","Acanthocephala","Alberta","Teleostei"
"115","Pungitius pungitius","Pomphorhynchus bulbocolli","Pomphorhynchus bulbocolli (Linkins, 1919)","Acanthocephala","Alberta","Teleostei"
"116","Salvelinus namaycush","Pomphorhynchus bulbocolli","Pomphorhynchus bulbocolli (Linkins, 1919)","Acanthocephala","Alberta","Teleostei"
"119","Egretta sacra","Southwellina sacra","Southwellina sacra Bahttacharya, Pande & Srivastava, 2002","Acanthocephala","Andaman Islands","Aves"
"146","Chaenocephalus aceratus","Andracantha baylisi","Andracantha baylisi (Zdzitowiecki, 1986)","Acanthocephala","Antarctic Ocean","Teleostei"
"147","Chaenocephalus aceratus","Andracantha baylisi","Andracantha baylisi (Zdzitowiecki, 1986)","Acanthocephala","Antarctic Ocean","Teleostei"
"148","Chionis albus","Andracantha baylisi","Andracantha baylisi (Zdzitowiecki, 1986)","Acanthocephala","Antarctic Ocean",NA
"149","Notothenia coriiceps","Andracantha baylisi","Andracantha baylisi (Zdzitowiecki, 1986)","Acanthocephala","Antarctic Ocean","Teleostei"
"150","Notothenia rossii","Andracantha baylisi","Andracantha baylisi (Zdzitowiecki, 1986)","Acanthocephala","Antarctic Ocean",NA
"151","Notothenia rossii","Andracantha baylisi","Andracantha baylisi (Zdzitowiecki, 1986)","Acanthocephala","Antarctic Ocean",NA
"152","Parachaenichthys georgianus","Andracantha baylisi","Andracantha baylisi (Zdzitowiecki, 1986)","Acanthocephala","Antarctic Ocean","Teleostei"
"153","Leucocarbo albiventer","Andracantha baylisi","Andracantha baylisi (Zdzitowiecki, 1986)","Acanthocephala","Antarctic Ocean",NA
"154","Gypsophoca dorifera","Andracantha clavata","Andracantha clavata (Goss, 1940)","Acanthocephala","Antarctic Ocean",NA
"155","Microcarbo melanoleucus","Andracantha clavata","Andracantha clavata (Goss, 1940)","Acanthocephala","Antarctic Ocean",NA
"156","Phalacrocorax ater","Andracantha clavata","Andracantha clavata (Goss, 1940)","Acanthocephala","Antarctic Ocean",NA
"157","Leucocarbo atriceps","Andracantha clavata","Andracantha clavata (Goss, 1940)","Acanthocephala","Antarctic Ocean",NA
"158","Leucocarbo atriceps","Andracantha clavata","Andracantha clavata (Goss, 1940)","Acanthocephala","Antarctic Ocean",NA
"159","Leucocarbo colensoi","Andracantha clavata","Andracantha clavata (Goss, 1940)","Acanthocephala","Antarctic Ocean",NA
"160","Phalacrocorax varius","Andracantha clavata","Andracantha clavata (Goss, 1940)","Acanthocephala","Antarctic Ocean","Aves"
"161","Leucocarbo verrucosus","Andracantha clavata","Andracantha clavata (Goss, 1940)","Acanthocephala","Antarctic Ocean",NA
"162","Platycephalus fuscus","Andracantha clavata","Andracantha clavata (Goss, 1940)","Acanthocephala","Antarctic Ocean","Teleostei"
"208","Balaena mysticetus","Bolbosoma balaenae","Bolbosoma balaenae (Gmelin, 1790)","Acanthocephala","Antarctic Ocean","Mammalia"
"209","Balaenoptera acutorostrata","Bolbosoma balaenae","Bolbosoma balaenae (Gmelin, 1790)","Acanthocephala","Antarctic Ocean","Mammalia"
"210","Balaenoptera borealis","Bolbosoma balaenae","Bolbosoma balaenae (Gmelin, 1790)","Acanthocephala","Antarctic Ocean","Mammalia"
"211","Balaenoptera musculus","Bolbosoma balaenae","Bolbosoma balaenae (Gmelin, 1790)","Acanthocephala","Antarctic Ocean","Mammalia"
"212","Balaenoptera physalus","Bolbosoma balaenae","Bolbosoma balaenae (Gmelin, 1790)","Acanthocephala","Antarctic Ocean","Mammalia"
"213","Hyperoodon ampullatus","Bolbosoma balaenae","Bolbosoma balaenae (Gmelin, 1790)","Acanthocephala","Antarctic Ocean","Mammalia"
"214","Megaptera novaeangliae","Bolbosoma balaenae","Bolbosoma balaenae (Gmelin, 1790)","Acanthocephala","Antarctic Ocean","Mammalia"
"215","Megaptera novaeangliae","Bolbosoma balaenae","Bolbosoma balaenae (Gmelin, 1790)","Acanthocephala","Antarctic Ocean","Mammalia"
"216","Balaenoptera acutorostrata","Bolbosoma brevicolle","Bolbosoma brevicolle (Malm, 1867)","Acanthocephala","Antarctic Ocean","Mammalia"
"217","Balaenoptera borealis","Bolbosoma brevicolle","Bolbosoma brevicolle (Malm, 1867)","Acanthocephala","Antarctic Ocean","Mammalia"
"218","Balaenoptera musculus","Bolbosoma brevicolle","Bolbosoma brevicolle (Malm, 1867)","Acanthocephala","Antarctic Ocean","Mammalia"
"219","Balaenoptera physalus","Bolbosoma brevicolle","Bolbosoma brevicolle (Malm, 1867)","Acanthocephala","Antarctic Ocean","Mammalia"
"220","Eubalaena glacialis","Bolbosoma brevicolle","Bolbosoma brevicolle (Malm, 1867)","Acanthocephala","Antarctic Ocean","Mammalia"
"221","Physeter macrocephalus","Bolbosoma brevicolle","Bolbosoma brevicolle (Malm, 1867)","Acanthocephala","Antarctic Ocean","Mammalia"
"222","Physeter macrocephalus","Bolbosoma brevicolle","Bolbosoma brevicolle (Malm, 1867)","Acanthocephala","Antarctic Ocean","Mammalia"
"223","Balaenoptera musculus","Bolbosoma hamiltoni","Bolbosoma hamiltoni Baylis, 1929","Acanthocephala","Antarctic Ocean","Mammalia"
"224","Balaenoptera physalus","Bolbosoma hamiltoni","Bolbosoma hamiltoni Baylis, 1929","Acanthocephala","Antarctic Ocean","Mammalia"
"225","Physeter macrocephalus","Bolbosoma physeteris","Bolbosoma physeteris Gubanov, 1952","Acanthocephala","Antarctic Ocean","Mammalia"
"226","Physeter macrocephalus","Bolbosoma physeteris","Bolbosoma physeteris Gubanov, 1952","Acanthocephala","Antarctic Ocean","Mammalia"
"227","Balaenoptera borealis","Bolbosoma tuberculata","Bolbosoma tuberculata Skrjabin, 1970","Acanthocephala","Antarctic Ocean","Mammalia"
"228","Balaenoptera edeni","Bolbosoma tuberculata","Bolbosoma tuberculata Skrjabin, 1970","Acanthocephala","Antarctic Ocean","Mammalia"
"229","Balaenoptera physalus","Bolbosoma tuberculata","Bolbosoma tuberculata Skrjabin, 1970","Acanthocephala","Antarctic Ocean","Mammalia"
"230","Physeter macrocephalus","Bolbosoma tuberculata","Bolbosoma tuberculata Skrjabin, 1970","Acanthocephala","Antarctic Ocean","Mammalia"
"231","Balaenoptera borealis","Bolbosoma turbinella","Bolbosoma turbinella (Diesing, l851)","Acanthocephala","Antarctic Ocean","Mammalia"
"232","Balaenoptera musculus","Bolbosoma turbinella","Bolbosoma turbinella (Diesing, l851)","Acanthocephala","Antarctic Ocean","Mammalia"
"233","Eubalaena glacialis","Bolbosoma turbinella","Bolbosoma turbinella (Diesing, l851)","Acanthocephala","Antarctic Ocean","Mammalia"
"234","Balaenoptera borealis","Bolbosoma turbinella","Bolbosoma turbinella australis Skrjabin, 1972","Acanthocephala","Antarctic Ocean","Mammalia"
"235","Eubalaena glacialis","Bolbosoma turbinella","Bolbosoma turbinella australis Skrjabin, 1972","Acanthocephala","Antarctic Ocean","Mammalia"
"236","Arctocephalus gazella","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Mammalia"
"237","Chaenocephalus aceratus","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"238","Chaenocephalus aceratus","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"239","Cryodraco antarcticus","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"240","Dissostichus eleginoides","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"241","Gobionotothen gibberifrons","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"242","Harpagifer antarcticus","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"243","Hydrurga leptonyx","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Mammalia"
"244","Hydrurga leptonyx","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Mammalia"
"245","Lobodon carcinophaga","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"246","Muraenolepis microps","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"247","Notothenia coriiceps","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"248","Notothenia neglecta","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"249","Notothenia rossii","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"250","Notothenia rossii","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"251","Notothenia squamifrons","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"252","Lepidonotothen nudifrons","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"253","Parachaenichthys charcoti","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"254","Parachaenichthys charcoti","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"255","Parachaenichthys georgianus","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"256","Patagonotothen brevicauda","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean","Teleostei"
"257","Leucocarbo atriceps","Corynosoma arctocephali","Corynosoma arctocephali Zdzitowiecki, 1984","Acanthocephala","Antarctic Ocean",NA
"259","Genypterus chilensis","Corynosoma australe","Corynosoma australe Johnston, 1937","Acanthocephala","Antarctic Ocean","Teleostei"
"260","Hydrurga leptonyx","Corynosoma australe","Corynosoma australe Johnston, 1937","Acanthocephala","Antarctic Ocean","Mammalia"
"261","Micropogon opercularis","Corynosoma australe","Corynosoma australe Johnston, 1937","Acanthocephala","Antarctic Ocean",NA
"262","Neophoca cinerea","Corynosoma australe","Corynosoma australe Johnston, 1937","Acanthocephala","Antarctic Ocean","Mammalia"
"263","Otaria flavescens","Corynosoma australe","Corynosoma australe Johnston, 1937","Acanthocephala","Antarctic Ocean","Mammalia"
"264","Otaria hookeri","Corynosoma australe","Corynosoma australe Johnston, 1937","Acanthocephala","Antarctic Ocean",NA
"266","Artedidraco loennbergi","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"267","Artedidraco mirus","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"268","Artedidraco orianae","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"269","Bovallia gigantea","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"270","Chaenocephalus aceratus","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"271","Chaenocephalus aceratus","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"273","Cryodraco antarcticus","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"274","Dissostichus eleginoides","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"275","Dissostichus eleginoides","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"276","Dissostichus mawsoni","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"277","Gobionotothen gibberifrons","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"278","Hydrurga leptonyx","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Mammalia"
"279","Leptonychotes weddellii","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"280","Lobodon carcinophaga","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"281","Lycodichthys antarcticus","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"282","Macrourus holotrachys","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"283","Macrourus whitsoni","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"284","Mirounga angustirostris","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Mammalia"
"285","Mirounga leonina","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Mammalia"
"286","Muraenolepis microps","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"287","Muraenolepis microps","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"288","Notothenia coriiceps","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean","Teleostei"
"289","Notothenia gibberifrons","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
"290","Notothenia gibberifrons","Corynosoma bullosum","Corynosoma bullosum (Linstow, 1892)","Acanthocephala","Antarctic Ocean",NA
