"","Abundance","Adenia heterophylla","Aleurites rockinghamensis","Archontophoenix alexandrae","Archontophoenix alexandrae","Ardisia pachyrrhachis","Cardwellia sublimis","Castanospermum australe","Clerodendrum tracyanum","Crotalaria sp1 M_PA_004","Cryptocarya hypospodia","Cryptocarya murrayi","Dysoxylum mollissimum subsp. molle","Dysoxylum papuanum","Dysoxylum pettigrewianum","Elaeocarpus angustifolius","Embelia caulialata","Endospermum myrmecophilum","Entada phaseoloides","Euodia sp1 M_PA_004","Ficus septica","Flagellaria indica","Glochidion philippicum","Homalanthus novoguineensis","Ichnocarpus frutescens","Ipomoea indica","Jasminum didymum","Licuala ramsayi","Macaranga involucrata subsp. mallotoides","Macaranga tanarius","Mallotus mollissimus","Mallotus paniculatus","Merremia peltata","Mucuna gigantea","Neosepicaea jucunda","Normanbya normanbyi","Pachygone longifolia","Passiflora sp. indet.","Rockinghamia angustifolia","Rockinghamia angustifolia","Smilax cf. australis","Stephania japonica","Syzygium cormiflorum","Syzygium erythrocalyx","Syzygium gustavioides","Syzygium sayeri","Toona ciliata","Trichosanthes pentaphylla","Unidentified sp1 M_PA_004","Urena lobata","Wrightia laevis subsp. millgar"
"Polyrhachis cupreata",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyrhachis delicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyrhachis foreli",28,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,1,0,5,1,1,2,1,0,0,0,12,0,0,6,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
"Polyrhachis mucronata",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyrhachis sp1 M_PA_004",8,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Polyrhachis sp2 M_PA_004",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0
"Polyrhachis sp3 M_PA_004",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyrhachis sp4 M_PA_004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyrhachis thusnelda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyrhachis yorkana",2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
